
  qwen38 REF30-t2-r2.json: 175s, 6974+584 tok, fim=stop
  qwen38 REF33-t1-r1.json: 845s, 10533+1201 tok, fim=stop
  qwen38 REF33-t1-r2.json: 243s, 10533+985 tok, fim=stop
  qwen38 REF33-t2-r1.json: 721s, 9885+601 tok, fim=stop
  qwen38 REF33-t2-r2.json: 218s, 9885+610 tok, fim=stop
  qwen38 REF41-t1-r1.json: 687s, 8990+954 tok, fim=stop
  qwen38 REF41-t1-r2.json: 266s, 8990+1150 tok, fim=stop
  qwen38 REF41-t2-r1.json: 597s, 8342+589 tok, fim=stop
  qwen38 REF41-t2-r2.json: 187s, 8342+607 tok, fim=stop
  qwen38 REF47-t1-r1.json: 647s, 8854+809 tok, fim=stop
  qwen38 REF47-t1-r2.json: 175s, 8854+801 tok, fim=stop
  qwen38 REF47-t2-r1.json: 686s, 8206+701 tok, fim=stop
  qwen38 REF47-t2-r2.json: 159s, 8206+511 tok, fim=stop

FILA CONCLUÍDA em 5.9 h.
